accuracy,precision,recall,f1
0.9558578839189587,0.9564455030044688,0.9556412098532362,0.955481204227625
0.957521777429774,0.9582797774989651,0.9578305121958057,0.957429105958704
0.9591856709405893,0.9599743559339345,0.9595097792852603,0.9590033078405351
0.957130273074288,0.9577434688534875,0.9570005048120096,0.9568134328121883
0.9572281491631595,0.9585907714440611,0.9575846057467754,0.9574137306504186
0.9564451404521875,0.9567544548274731,0.9561304813910724,0.9559142688609861
0.9549769991191152,0.955145754591329,0.9551087854855385,0.954441748118054
0.9572281491631595,0.9574365039224962,0.9575732434193778,0.956929800572409
0.9586962904962317,0.9598660310308395,0.958679929624896,0.958736527164866
0.9587941665851033,0.9600353889759179,0.9590956480747082,0.9589323658038557
0.9602623079181756,0.9615141230426649,0.9606421976404032,0.9605263805919279
0.9593814231183322,0.9599091427929705,0.9592922029631683,0.9591178848573532
0.9600665557404326,0.9602187403311554,0.9602699754042582,0.9596498659180094
0.9584026622296173,0.958990814311958,0.958965781209375,0.958353497542195
0.9536067338749143,0.9551082954536484,0.9537723950622774,0.9536589263798092
0.9585984144073603,0.9590081235204063,0.9583836088819252,0.9581746159679234
0.9553685034746011,0.9563970499998298,0.9553542557923358,0.9552288404563806
0.9591856709405893,0.9600229540294895,0.9596708705355391,0.9591859418635905
0.956738768718802,0.9578736483565018,0.9566617881666754,0.9566014344437798
0.9572281491631595,0.9584186586171515,0.957023833991818,0.9570575924145575
0.9596750513849467,0.9604142441357492,0.9596771719412279,0.9596016974132857
0.9538024860526574,0.9549153330091115,0.9538888471395025,0.9538146646110965
0.9536067338749143,0.9548871803241797,0.9542553923180954,0.9538184410536821
0.9559557600078301,0.9574899188198475,0.9564430275769044,0.9561968826854935
0.9577175296075169,0.9580308197166372,0.9578988797536484,0.9574625172141211
0.9572281491631595,0.9582415736030476,0.9576270210550945,0.9573048139973397
0.9551727512968582,0.9564345168243392,0.9556116223207521,0.9552990786443646
0.9591856709405893,0.9600691505372498,0.9588109262064787,0.9588597682206782
0.956543016541059,0.9572147213432559,0.9562113549812974,0.956129380406588
0.9538024860526574,0.9551959071344851,0.9542266143455388,0.9539723860173246
0.9572281491631595,0.957832137705347,0.9571821509401925,0.9569652232070333
0.956738768718802,0.9580895925747257,0.957149395666464,0.956939280627779
0.9576196535186454,0.9576594117506495,0.9580382551070066,0.9571233694539316
0.957130273074288,0.9585146330716109,0.9582871018498121,0.9577772658331623
0.9594792992072037,0.960094655953845,0.9594710425309597,0.9592307717279502
0.9594792992072037,0.9602248814855272,0.9596492184968172,0.9594026209482251
0.9553685034746011,0.9559978270480378,0.9558518205474622,0.9552395103861394
0.9568366448076735,0.9579789126621546,0.9571692678810434,0.9569656170557688
0.9536067338749143,0.9551082954536484,0.9537723950622774,0.9536589263798092
0.9568366448076735,0.9574354199066996,0.9574731127291184,0.9568750822132491
0.9549769991191152,0.9553763262186723,0.9552094482390996,0.9547244537081515
0.9577175296075169,0.9590580794323681,0.9580675889934527,0.9581126952380822
0.960947440540276,0.9611562736199012,0.960865096663048,0.9604571195330972
0.9550748752079867,0.9567841676163205,0.9557027955051081,0.955341623136066
0.9570323969854164,0.9576237043261853,0.9569898541125741,0.9567115736825261
0.9538024860526574,0.9551959071344851,0.9542266143455388,0.9539723860173246
0.9601644318293041,0.9603553292575533,0.9604345308020988,0.9597408930117245
0.9582069100518743,0.9588617368987261,0.9582284479578296,0.9578215585490032
0.9544876186747577,0.9547411117820196,0.9546883980854628,0.9541668709971208
0.9592835470294607,0.9599642898981279,0.9590583686553553,0.9590054971979317
0.9547812469413722,0.9557134761964854,0.9548316514934843,0.9546170326572446
0.9595771752960752,0.9603261827007334,0.9598632990953341,0.9593893262440939
0.9582069100518743,0.9589132416373315,0.9580498920823082,0.9579453910871533
0.9620240775178623,0.9617810561535308,0.9613668088094968,0.9610134489850395
0.9557600078300871,0.9570034655436719,0.9565802901142753,0.9561977864519822
0.9573260252520309,0.9579772588246092,0.9576665316808727,0.9571257294067202
0.9574239013409024,0.9581422235208346,0.9580389670725051,0.95742060683254
0.9584026622296173,0.9592982054246239,0.9583291706682611,0.9582271005733342
0.9591856709405893,0.9602063655753057,0.959584975245038,0.9592485015087259
0.9594792992072037,0.960094655953845,0.9594710425309597,0.9592307717279502
0.9528237251639424,0.9544469314183756,0.9533823345505805,0.9532739697185753
0.9583047861407458,0.9586883039715361,0.958158740852131,0.9579259300702961
0.9585984144073603,0.959428234485663,0.9588104208712522,0.9584299331973971
0.9579132817852598,0.958674640124773,0.9584232322671565,0.9579336357978026
0.956151512185573,0.957279150514467,0.9570402801130597,0.9565051117892537
0.961338944895762,0.9614618536138316,0.9613459380319581,0.9609074175950616
0.9581090339630028,0.959202096634922,0.9583034563914353,0.9581073984846067
0.9587941665851033,0.9594559003761611,0.958657116253385,0.9584621481843887
0.9554663795634727,0.9561972753074409,0.9555289416461619,0.9553498544046001
0.9576196535186454,0.9584855466597166,0.9579656946949645,0.9576384507379285
0.9579132817852598,0.958202164550194,0.9583961685065272,0.9575708705557637
0.9578154056963883,0.9591790342475195,0.9581769253658254,0.9581582444926419
0.9578154056963883,0.9591790342475195,0.9581769253658254,0.9581582444926419
0.9549769991191152,0.956450017126013,0.9547070197001323,0.9549556408807024
0.9577175296075169,0.9587294353594601,0.9580943872828562,0.9576467208517964
0.9585005383184888,0.9584963272894501,0.9581519301743121,0.9576857985820564
0.9563472643633161,0.9582731125049431,0.9572642715974091,0.9569918564192617
0.9577175296075169,0.9587294353594601,0.9580943872828562,0.9576467208517964
0.9568366448076735,0.9571712382677791,0.9571153700619076,0.9565411366565212
0.9576196535186454,0.9580272645545779,0.9581533387960659,0.9574614612604474
0.9583047861407458,0.959544087426518,0.9588122015469234,0.9586745959498024
0.9612410688068905,0.9613828583049567,0.960979021779297,0.960644221782255
0.9553685034746011,0.9562228143504836,0.9558693776195042,0.9554761532838271
0.956151512185573,0.9571252281547923,0.956359936905051,0.9560915174081084
0.9586962904962317,0.9598660310308395,0.958679929624896,0.958736527164866
0.9587941665851033,0.9600353889759179,0.9590956480747082,0.9589323658038557
0.961338944895762,0.9621312117293286,0.9613305390562016,0.9613386422988135
0.9593814231183322,0.9599091427929705,0.9592922029631683,0.9591178848573532
0.9545854947636292,0.9557358211527904,0.9545908616194334,0.9545311452955773
0.9595771752960752,0.9598819413349616,0.9592895451018338,0.9589866950732545
0.9584026622296173,0.958990814311958,0.958965781209375,0.958353497542195
0.9605559361847901,0.9612409981458309,0.9608032186596819,0.9604933151042588
0.9537046099637858,0.9546919915584632,0.9539536322645817,0.9537569366502361
0.9553685034746011,0.9563970499998298,0.9553542557923358,0.9552288404563806
0.9594792992072037,0.9603677814435566,0.9597892364799302,0.9595091429614938
0.9591856709405893,0.9600229540294895,0.9596708705355391,0.9591859418635905
0.956738768718802,0.9578736483565018,0.9566617881666754,0.9566014344437798
0.9600665557404326,0.9601772554110066,0.9601796364499582,0.9595969012838311
0.9596750513849467,0.9604142441357492,0.9596771719412279,0.9596016974132857
0.956543016541059,0.957641892487501,0.9571411936314723,0.9568470951346837
0.9536067338749143,0.9548871803241797,0.9542553923180954,0.9538184410536821
0.9589899187628462,0.9594483788823751,0.959268530323088,0.9588663377487923
0.9576196535186454,0.9584855466597166,0.9579656946949645,0.9576384507379285
0.9551727512968582,0.9564345168243392,0.9556116223207521,0.9552990786443646
0.9591856709405893,0.9600691505372498,0.9588109262064787,0.9588597682206782
0.956543016541059,0.9572147213432559,0.9562113549812974,0.956129380406588
0.9572281491631595,0.957832137705347,0.9571821509401925,0.9569652232070333
0.956738768718802,0.9580895925747257,0.957149395666464,0.956939280627779
0.9581090339630028,0.9593100642988759,0.9580652402046222,0.95824436534069
0.9594792992072037,0.9602088255005354,0.9593386018034243,0.9592921848401671
0.9594792992072037,0.9602248814855272,0.9596492184968172,0.9594026209482251
0.9570323969854164,0.9583336358222461,0.9575089423618548,0.9571925104186104
0.9573260252520309,0.9578367581960187,0.9573942698004551,0.9569322623484584
0.9600665557404326,0.9606335467688003,0.9602862514783664,0.9598796809801158
0.9559557600078301,0.9569687741576064,0.9569551542104673,0.9563173806536808
0.9586962904962317,0.9595544800282886,0.9588099966696828,0.9584813430504916
0.9574239013409024,0.9581395963650974,0.9575047687733428,0.9572122512326205
0.960947440540276,0.9611562736199012,0.960865096663048,0.9604571195330972
0.9570323969854164,0.9576237043261853,0.9569898541125741,0.9567115736825261
0.9538024860526574,0.9551959071344851,0.9542266143455388,0.9539723860173246
0.9558578839189587,0.9564455030044688,0.9556412098532362,0.955481204227625
0.9582069100518743,0.9588617368987261,0.9582284479578296,0.9578215585490032
0.9544876186747577,0.9547411117820196,0.9546883980854628,0.9541668709971208
0.9592835470294607,0.9599642898981279,0.9590583686553553,0.9590054971979317
0.9551727512968582,0.9564345168243392,0.9556116223207521,0.9552990786443646
0.9547812469413722,0.9557134761964854,0.9548316514934843,0.9546170326572446
0.9595771752960752,0.9603261827007334,0.9598632990953341,0.9593893262440939
0.9582069100518743,0.9589132416373315,0.9580498920823082,0.9579453910871533
0.960947440540276,0.9611562736199012,0.960865096663048,0.9604571195330972
0.9620240775178623,0.9617810561535308,0.9613668088094968,0.9610134489850395
0.9557600078300871,0.9570034655436719,0.9565802901142753,0.9561977864519822
0.9573260252520309,0.9579772588246092,0.9576665316808727,0.9571257294067202
0.9574239013409024,0.9581422235208346,0.9580389670725051,0.95742060683254
0.9573260252520309,0.9578367581960187,0.9573942698004551,0.9569322623484584
0.9584026622296173,0.9592982054246239,0.9583291706682611,0.9582271005733342
0.9591856709405893,0.9602063655753057,0.959584975245038,0.9592485015087259
0.9594792992072037,0.960094655953845,0.9594710425309597,0.9592307717279502
0.9528237251639424,0.9544469314183756,0.9533823345505805,0.9532739697185753
0.9583047861407458,0.9586883039715361,0.958158740852131,0.9579259300702961
0.9585984144073603,0.959428234485663,0.9588104208712522,0.9584299331973971
0.9552706273857297,0.9571702996703231,0.955970145800821,0.9558853881912152
0.961338944895762,0.9614618536138316,0.9613459380319581,0.9609074175950616
0.956151512185573,0.9574325368513118,0.95663435243193,0.9563655632512219
0.9572281491631595,0.9585907714440611,0.9575846057467754,0.9574137306504186
0.960360184007047,0.9610180849646294,0.9601012406438746,0.9601220007642889
0.9533131056082998,0.9544128193466204,0.9536583310182244,0.9532589757754653
0.9581090339630028,0.9593100642988759,0.9580652402046222,0.95824436534069
0.9594792992072037,0.9602088255005354,0.9593386018034243,0.9592921848401671
0.9600665557404326,0.9606335467688003,0.9602862514783664,0.9598796809801158
0.9559557600078301,0.9569687741576064,0.9569551542104673,0.9563173806536808
0.9586962904962317,0.9595544800282886,0.9588099966696828,0.9584813430504916
0.9605559361847901,0.9612409981458309,0.9608032186596819,0.9604933151042588
0.9541939904081433,0.95545980008647,0.9545844051271647,0.9543092324997102
0.9558578839189587,0.9564455030044688,0.9556412098532362,0.955481204227625
0.957521777429774,0.9582797774989651,0.9578305121958057,0.957429105958704
0.9591856709405893,0.9599743559339345,0.9595097792852603,0.9590033078405351
0.957130273074288,0.9577434688534875,0.9570005048120096,0.9568134328121883
0.9572281491631595,0.9585907714440611,0.9575846057467754,0.9574137306504186
0.9564451404521875,0.9567544548274731,0.9561304813910724,0.9559142688609861
0.9549769991191152,0.955145754591329,0.9551087854855385,0.954441748118054
0.9572281491631595,0.9574365039224962,0.9575732434193778,0.956929800572409
0.9586962904962317,0.9598660310308395,0.958679929624896,0.958736527164866
0.9587941665851033,0.9600353889759179,0.9590956480747082,0.9589323658038557
0.9602623079181756,0.9615141230426649,0.9606421976404032,0.9605263805919279
0.9593814231183322,0.9599091427929705,0.9592922029631683,0.9591178848573532
0.9600665557404326,0.9602187403311554,0.9602699754042582,0.9596498659180094
0.9584026622296173,0.958990814311958,0.958965781209375,0.958353497542195
0.9585984144073603,0.9590081235204063,0.9583836088819252,0.9581746159679234
0.9553685034746011,0.9563970499998298,0.9553542557923358,0.9552288404563806
0.960360184007047,0.9610180849646294,0.9601012406438746,0.9601220007642889
0.9591856709405893,0.9600229540294895,0.9596708705355391,0.9591859418635905
0.956738768718802,0.9578736483565018,0.9566617881666754,0.9566014344437798
0.9572281491631595,0.9584186586171515,0.957023833991818,0.9570575924145575
0.9596750513849467,0.9604142441357492,0.9596771719412279,0.9596016974132857
0.9538024860526574,0.9549153330091115,0.9538888471395025,0.9538146646110965
0.9536067338749143,0.9548871803241797,0.9542553923180954,0.9538184410536821
0.9589899187628462,0.9594483788823751,0.959268530323088,0.9588663377487923
0.9577175296075169,0.9580308197166372,0.9578988797536484,0.9574625172141211
0.9572281491631595,0.9582415736030476,0.9576270210550945,0.9573048139973397
0.9585005383184888,0.9584963272894501,0.9581519301743121,0.9576857985820564
0.9563472643633161,0.9582731125049431,0.9572642715974091,0.9569918564192617
0.9568366448076735,0.9571712382677791,0.9571153700619076,0.9565411366565212
0.9576196535186454,0.9580272645545779,0.9581533387960659,0.9574614612604474
0.9583047861407458,0.959544087426518,0.9588122015469234,0.9586745959498024
0.9612410688068905,0.9613828583049567,0.960979021779297,0.960644221782255
0.956151512185573,0.9571252281547923,0.956359936905051,0.9560915174081084
0.9576196535186454,0.9576594117506495,0.9580382551070066,0.9571233694539316
0.957130273074288,0.9585146330716109,0.9582871018498121,0.9577772658331623
0.961338944895762,0.9621312117293286,0.9613305390562016,0.9613386422988135
0.9598708035626896,0.9605303349609519,0.9604633936431931,0.9599532342811607
0.9545854947636292,0.9557358211527904,0.9545908616194334,0.9545311452955773
0.9553685034746011,0.9559978270480378,0.9558518205474622,0.9552395103861394
0.9568366448076735,0.9579789126621546,0.9571692678810434,0.9569656170557688
0.9600665557404326,0.9606335467688003,0.9602862514783664,0.9598796809801158
0.9594792992072037,0.9603677814435566,0.9597892364799302,0.9595091429614938
0.9549769991191152,0.9553763262186723,0.9552094482390996,0.9547244537081515
0.9577175296075169,0.9590580794323681,0.9580675889934527,0.9581126952380822
0.9600665557404326,0.9601772554110066,0.9601796364499582,0.9595969012838311
0.956543016541059,0.957641892487501,0.9571411936314723,0.9568470951346837
0.9550748752079867,0.9567841676163205,0.9557027955051081,0.955341623136066
0.9559557600078301,0.9574899188198475,0.9564430275769044,0.9561968826854935
0.9578154056963883,0.9591790342475195,0.9581769253658254,0.9581582444926419
0.9582069100518743,0.9588617368987261,0.9582284479578296,0.9578215585490032
0.9544876186747577,0.9547411117820196,0.9546883980854628,0.9541668709971208
0.9577175296075169,0.9587294353594601,0.9580943872828562,0.9576467208517964
0.9547812469413722,0.9557134761964854,0.9548316514934843,0.9546170326572446
0.9595771752960752,0.9603261827007334,0.9598632990953341,0.9593893262440939
0.9577175296075169,0.95794231107246,0.9576740754581283,0.9572779601132361
0.9557600078300871,0.9570034655436719,0.9565802901142753,0.9561977864519822
0.9579132817852598,0.958202164550194,0.9583961685065272,0.9575708705557637
